破坏编号 	 所在管线编号 	 该管线上破坏破坏次序 	 破坏点与前点之间长度比例 	 破坏类型 	 渗漏面积等效直径（mm）
1 	 2 	 1 	 0.5 	 2 	 100
2 	 7 	 1 	 0.5 	 2 	 100
3 	 11 	 1 	 0.5 	 1 	 25
4 	 13 	 1 	 0.5 	 2 	 100
5 	 18 	 1 	 0.5 	 1 	 25
6 	 21 	 1 	 0.5 	 1 	 50
7 	 24 	 1 	 0.5 	 1 	 25
8 	 28 	 1 	 0.5 	 2 	 100
9 	 37 	 1 	 0.5 	 1 	 50
10 	 39 	 1 	 0.5 	 1 	 50
11 	 40 	 1 	 0.5 	 2 	 200
12 	 47 	 1 	 0.5 	 1 	 37.5
13 	 54 	 1 	 0.5 	 2 	 100
14 	 55 	 1 	 0.5 	 2 	 100
15 	 56 	 1 	 0.5 	 2 	 100
16 	 58 	 1 	 0.5 	 1 	 31.25
17 	 66 	 1 	 0.5 	 1 	 50
18 	 68 	 1 	 0.5 	 1 	 50
19 	 70 	 1 	 0.5 	 2 	 100
20 	 71 	 1 	 0.5 	 2 	 100
21 	 73 	 1 	 0.5 	 2 	 100
22 	 86 	 1 	 0.5 	 1 	 25
23 	 93 	 1 	 0.5 	 2 	 100
24 	 94 	 1 	 0.5 	 1 	 25
25 	 101 	 1 	 0.5 	 2 	 150
26 	 102 	 1 	 0.5 	 1 	 37.5
27 	 116 	 1 	 0.5 	 2 	 100
28 	 123 	 1 	 0.5 	 1 	 31.25
29 	 125 	 1 	 0.5 	 2 	 100
30 	 126 	 1 	 0.5 	 2 	 125
31 	 135 	 1 	 0.5 	 2 	 200
32 	 144 	 1 	 0.5 	 2 	 100
33 	 154 	 1 	 0.5 	 2 	 150
34 	 160 	 1 	 0.5 	 2 	 100
35 	 165 	 1 	 0.5 	 1 	 37.5
36 	 166 	 1 	 0.5 	 1 	 37.5
37 	 170 	 1 	 0.5 	 1 	 37.5
38 	 174 	 1 	 0.5 	 2 	 100
39 	 177 	 1 	 0.5 	 1 	 37.5
40 	 180 	 1 	 0.5 	 1 	 50
41 	 182 	 1 	 0.5 	 1 	 25
42 	 183 	 1 	 0.5 	 1 	 50
43 	 189 	 1 	 0.5 	 1 	 25
44 	 195 	 1 	 0.5 	 1 	 37.5
45 	 198 	 1 	 0.5 	 2 	 125
46 	 201 	 1 	 0.5 	 1 	 25
47 	 211 	 1 	 0.5 	 2 	 100
48 	 213 	 1 	 0.5 	 1 	 25
49 	 216 	 1 	 0.5 	 1 	 25
50 	 217 	 1 	 0.5 	 2 	 100
51 	 226 	 1 	 0.5 	 2 	 100
52 	 232 	 1 	 0.5 	 2 	 100
53 	 237 	 1 	 0.5 	 2 	 100
54 	 253 	 1 	 0.5 	 1 	 25
55 	 254 	 1 	 0.5 	 2 	 100
56 	 255 	 1 	 0.5 	 2 	 125
57 	 257 	 1 	 0.5 	 1 	 37.5
58 	 260 	 1 	 0.5 	 2 	 100
59 	 266 	 1 	 0.5 	 2 	 100
60 	 269 	 1 	 0.5 	 1 	 25
61 	 272 	 1 	 0.5 	 2 	 125
62 	 274 	 1 	 0.5 	 1 	 25
63 	 280 	 1 	 0.5 	 2 	 100
64 	 288 	 1 	 0.5 	 1 	 25
65 	 291 	 1 	 0.5 	 1 	 87.5
66 	 295 	 1 	 0.5 	 2 	 100
67 	 297 	 1 	 0.5 	 2 	 100
68 	 301 	 1 	 0.5 	 1 	 25
69 	 305 	 1 	 0.5 	 1 	 25
70 	 309 	 1 	 0.5 	 2 	 100
71 	 310 	 1 	 0.5 	 1 	 25
72 	 312 	 1 	 0.5 	 1 	 25
