破坏编号 	 所在管线编号 	 该管线上破坏破坏次序 	 破坏点与前点之间长度比例 	 破坏类型 	 渗漏面积等效直径（mm）
1 	 14 	 1 	 0.5 	 1 	 31.25
2 	 15 	 1 	 0.5 	 1 	 31.25
3 	 18 	 1 	 0.5 	 1 	 25
4 	 21 	 1 	 0.5 	 1 	 50
5 	 27 	 1 	 0.5 	 1 	 25
6 	 32 	 1 	 0.5 	 1 	 25
7 	 35 	 1 	 0.5 	 1 	 50
8 	 38 	 1 	 0.5 	 1 	 50
9 	 39 	 1 	 0.5 	 1 	 50
10 	 45 	 1 	 0.5 	 1 	 50
11 	 46 	 1 	 0.5 	 1 	 50
12 	 51 	 1 	 0.5 	 1 	 37.5
13 	 59 	 1 	 0.5 	 1 	 37.5
14 	 64 	 1 	 0.5 	 1 	 50
15 	 73 	 1 	 0.5 	 1 	 25
16 	 75 	 1 	 0.5 	 1 	 25
17 	 79 	 1 	 0.5 	 1 	 25
18 	 82 	 1 	 0.5 	 1 	 25
19 	 83 	 1 	 0.5 	 1 	 25
20 	 84 	 1 	 0.5 	 1 	 25
21 	 86 	 1 	 0.5 	 1 	 25
22 	 90 	 1 	 0.5 	 1 	 25
23 	 94 	 1 	 0.5 	 1 	 25
24 	 95 	 1 	 0.5 	 2 	 100
25 	 96 	 1 	 0.5 	 1 	 25
26 	 107 	 1 	 0.5 	 2 	 125
27 	 108 	 1 	 0.5 	 2 	 100
28 	 120 	 1 	 0.5 	 1 	 25
29 	 121 	 1 	 0.5 	 1 	 31.25
30 	 125 	 1 	 0.5 	 1 	 25
31 	 134 	 1 	 0.5 	 1 	 37.5
32 	 138 	 1 	 0.5 	 1 	 50
33 	 139 	 1 	 0.5 	 1 	 50
34 	 144 	 1 	 0.5 	 1 	 25
35 	 149 	 1 	 0.5 	 1 	 37.5
36 	 156 	 1 	 0.5 	 1 	 50
37 	 169 	 1 	 0.5 	 1 	 31.25
38 	 170 	 1 	 0.5 	 1 	 37.5
39 	 177 	 1 	 0.5 	 1 	 37.5
40 	 179 	 1 	 0.5 	 1 	 50
41 	 180 	 1 	 0.5 	 2 	 200
42 	 183 	 1 	 0.5 	 1 	 50
43 	 187 	 1 	 0.5 	 1 	 31.25
44 	 188 	 1 	 0.5 	 1 	 25
45 	 189 	 1 	 0.5 	 1 	 25
46 	 192 	 1 	 0.5 	 1 	 37.5
47 	 194 	 1 	 0.5 	 1 	 25
48 	 195 	 1 	 0.5 	 1 	 37.5
49 	 198 	 1 	 0.5 	 2 	 125
50 	 201 	 1 	 0.5 	 1 	 25
51 	 205 	 1 	 0.5 	 1 	 31.25
52 	 211 	 1 	 0.5 	 1 	 25
53 	 219 	 1 	 0.5 	 1 	 37.5
54 	 222 	 1 	 0.5 	 1 	 25
55 	 226 	 1 	 0.5 	 1 	 25
56 	 231 	 1 	 0.5 	 1 	 25
57 	 234 	 1 	 0.5 	 1 	 25
58 	 248 	 1 	 0.5 	 1 	 25
59 	 257 	 1 	 0.5 	 1 	 37.5
60 	 259 	 1 	 0.5 	 1 	 25
61 	 261 	 1 	 0.5 	 2 	 100
62 	 264 	 1 	 0.5 	 1 	 25
63 	 271 	 1 	 0.5 	 1 	 25
64 	 281 	 1 	 0.5 	 2 	 150
65 	 283 	 1 	 0.5 	 1 	 25
66 	 290 	 1 	 0.5 	 1 	 87.5
67 	 292 	 1 	 0.5 	 2 	 350
68 	 296 	 1 	 0.5 	 1 	 25
69 	 301 	 1 	 0.5 	 1 	 25
70 	 303 	 1 	 0.5 	 1 	 25
71 	 309 	 1 	 0.5 	 1 	 25
72 	 312 	 1 	 0.5 	 1 	 25
