破坏编号 	 所在管线编号 	 该管线上破坏破坏次序 	 破坏点与前点之间长度比例 	 破坏类型 	 渗漏面积等效直径（mm）
1 	 5 	 1 	 0.5 	 1 	 25
2 	 32 	 1 	 0.5 	 1 	 25
3 	 44 	 1 	 0.5 	 1 	 50
4 	 48 	 1 	 0.5 	 1 	 37.5
5 	 60 	 1 	 0.5 	 1 	 37.5
6 	 71 	 1 	 0.5 	 1 	 25
7 	 83 	 1 	 0.5 	 1 	 25
8 	 99 	 1 	 0.5 	 1 	 37.5
9 	 109 	 1 	 0.5 	 1 	 25
10 	 123 	 1 	 0.5 	 2 	 125
11 	 126 	 1 	 0.5 	 1 	 31.25
12 	 132 	 1 	 0.5 	 1 	 37.5
13 	 147 	 1 	 0.5 	 1 	 25
14 	 149 	 1 	 0.5 	 1 	 37.5
15 	 152 	 1 	 0.5 	 1 	 25
16 	 154 	 1 	 0.5 	 1 	 37.5
17 	 164 	 1 	 0.5 	 1 	 50
18 	 165 	 1 	 0.5 	 2 	 150
19 	 188 	 1 	 0.5 	 1 	 25
20 	 203 	 1 	 0.5 	 1 	 25
21 	 207 	 1 	 0.5 	 1 	 31.25
22 	 221 	 1 	 0.5 	 1 	 37.5
23 	 223 	 1 	 0.5 	 1 	 25
24 	 227 	 1 	 0.5 	 1 	 25
25 	 228 	 1 	 0.5 	 1 	 25
26 	 238 	 1 	 0.5 	 1 	 25
27 	 240 	 1 	 0.5 	 1 	 31.25
28 	 278 	 1 	 0.5 	 1 	 25
29 	 287 	 1 	 0.5 	 2 	 100
30 	 307 	 1 	 0.5 	 1 	 50
31 	 335 	 1 	 0.5 	 1 	 100
32 	 336 	 1 	 0.5 	 2 	 200
