破坏编号 	 所在管线编号 	 该管线上破坏破坏次序 	 破坏点与前点之间长度比例 	 破坏类型 	 渗漏面积等效直径（mm）
1 	 2 	 1 	 0.5 	 1 	 25
2 	 6 	 1 	 0.5 	 1 	 25
3 	 11 	 1 	 0.5 	 1 	 25
4 	 18 	 1 	 0.5 	 1 	 25
5 	 20 	 1 	 0.5 	 1 	 50
6 	 22 	 1 	 0.5 	 1 	 50
7 	 26 	 1 	 0.5 	 1 	 25
8 	 29 	 1 	 0.5 	 1 	 25
9 	 36 	 1 	 0.5 	 1 	 50
10 	 38 	 1 	 0.5 	 2 	 200
11 	 42 	 1 	 0.5 	 1 	 50
12 	 45 	 1 	 0.5 	 1 	 50
13 	 48 	 1 	 0.5 	 1 	 37.5
14 	 49 	 1 	 0.5 	 1 	 37.5
15 	 55 	 1 	 0.5 	 1 	 25
16 	 56 	 1 	 0.5 	 1 	 25
17 	 59 	 1 	 0.5 	 2 	 150
18 	 60 	 1 	 0.5 	 1 	 37.5
19 	 64 	 1 	 0.5 	 2 	 200
20 	 68 	 1 	 0.5 	 1 	 50
21 	 70 	 1 	 0.5 	 1 	 25
22 	 78 	 1 	 0.5 	 1 	 25
23 	 81 	 1 	 0.5 	 1 	 25
24 	 82 	 1 	 0.5 	 2 	 100
25 	 87 	 1 	 0.5 	 1 	 25
26 	 88 	 1 	 0.5 	 2 	 100
27 	 89 	 1 	 0.5 	 1 	 25
28 	 93 	 1 	 0.5 	 1 	 25
29 	 97 	 1 	 0.5 	 1 	 25
30 	 101 	 1 	 0.5 	 1 	 37.5
31 	 103 	 1 	 0.5 	 2 	 150
32 	 107 	 1 	 0.5 	 1 	 31.25
33 	 114 	 1 	 0.5 	 1 	 37.5
34 	 121 	 1 	 0.5 	 2 	 125
35 	 122 	 1 	 0.5 	 2 	 100
36 	 124 	 1 	 0.5 	 1 	 25
37 	 127 	 1 	 0.5 	 1 	 31.25
38 	 147 	 1 	 0.5 	 2 	 100
39 	 149 	 1 	 0.5 	 1 	 37.5
40 	 157 	 1 	 0.5 	 1 	 75
41 	 163 	 1 	 0.5 	 2 	 200
42 	 166 	 1 	 0.5 	 2 	 150
43 	 175 	 1 	 0.5 	 2 	 125
44 	 179 	 1 	 0.5 	 1 	 50
45 	 181 	 1 	 0.5 	 1 	 25
46 	 182 	 1 	 0.5 	 1 	 25
47 	 185 	 1 	 0.5 	 1 	 31.25
48 	 188 	 1 	 0.5 	 1 	 25
49 	 192 	 1 	 0.5 	 1 	 37.5
50 	 194 	 1 	 0.5 	 2 	 100
51 	 196 	 1 	 0.5 	 1 	 37.5
52 	 199 	 1 	 0.5 	 2 	 100
53 	 206 	 1 	 0.5 	 1 	 31.25
54 	 208 	 1 	 0.5 	 1 	 31.25
55 	 224 	 1 	 0.5 	 1 	 31.25
56 	 226 	 1 	 0.5 	 2 	 100
57 	 229 	 1 	 0.5 	 1 	 25
58 	 245 	 1 	 0.5 	 1 	 25
59 	 255 	 1 	 0.5 	 2 	 125
60 	 257 	 1 	 0.5 	 1 	 37.5
61 	 259 	 1 	 0.5 	 2 	 100
62 	 275 	 1 	 0.5 	 2 	 100
63 	 279 	 1 	 0.5 	 2 	 100
64 	 282 	 1 	 0.5 	 1 	 25
65 	 284 	 1 	 0.5 	 1 	 25
66 	 288 	 1 	 0.5 	 1 	 25
67 	 295 	 1 	 0.5 	 2 	 100
68 	 298 	 1 	 0.5 	 1 	 25
69 	 303 	 1 	 0.5 	 1 	 25
70 	 309 	 1 	 0.5 	 2 	 100
71 	 330 	 1 	 0.5 	 1 	 50
72 	 335 	 1 	 0.5 	 2 	 400
